recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,raw_recording_id
00204008d_0,21,1,13.84,3281.25,14.9333,4125.0,00204008d
00204008d_1,8,1,24.496,3750.0,28.6187,5531.25,00204008d
00204008d_2,4,1,15.0027,2343.75,16.8587,4218.75,00204008d
003b04435_3,22,1,43.2533,10687.5,44.8587,13687.5,003b04435
003b04435_4,23,1,9.1254,7235.1562,15.2091,11283.3984,003b04435
005f1f9a5_5,10,1,49.3598,947.4609,51.8037,10852.7344,005f1f9a5
0072f0839_6,2,1,56.0053,468.75,57.7813,3000.0,0072f0839
0079ff47b_7,1,1,46.5653,3843.75,47.4613,5625.0,0079ff47b
0079ff47b_8,11,1,49.0986,1808.7891,50.2364,5684.7656,0079ff47b
0079ff47b_9,19,1,30.224,281.25,31.776,2812.5,0079ff47b
0079ff47b_10,20,1,2.0107,2343.75,5.4507,5718.75,0079ff47b
0079ff47b_11,8,1,45.6907,3750.0,49.8133,5531.25,0079ff47b
0079ff47b_12,17,1,43.3813,1312.5,49.8347,3937.5,0079ff47b
007f87ba2_13,20,1,9.888,2343.75,13.328,5718.75,007f87ba2
007f87ba2_14,9,1,5.5733,1125.0,8.3787,5250.0,007f87ba2
007f87ba2_15,8,1,17.8613,3750.0,21.984,5531.25,007f87ba2
00834f88e_16,15,1,13.5733,93.75,16.9173,1125.0,00834f88e
00834f88e_17,15,1,16.704,93.75,20.048,1125.0,00834f88e
008c9c381_18,21,1,40.5653,3281.25,41.6587,4125.0,008c9c381
009aa1c8f_19,11,1,28.5489,1808.7891,29.6867,5684.7656,009aa1c8f
009fbc7b4_20,16,4,5.0293,3093.75,6.864,4593.75,009fbc7b4
00ad36516_21,19,1,28.3947,281.25,29.9467,2812.5,00ad36516
00e3525a2_22,11,1,26.047,1808.7891,27.1848,5684.7656,00e3525a2
00e3525a2_23,6,1,39.0347,562.5,41.1787,4406.25,00e3525a2
00f3b3c1e_24,23,1,41.7495,7235.1562,47.8331,11283.3984,00f3b3c1e
013716dbf_25,23,1,37.3899,7235.1562,43.4736,11283.3984,013716dbf
015113cad_26,5,1,11.088,4781.25,13.44,10406.25,015113cad
015113cad_27,3,1,42.9493,1031.25,43.6907,2812.5,015113cad
015113cad_28,19,1,55.968,281.25,57.52,2812.5,015113cad
015aa6c7c_29,23,1,35.6136,7235.1562,41.6972,11283.3984,015aa6c7c
016240b9a_30,22,1,7.0773,10687.5,8.6827,13687.5,016240b9a
017165b59_31,20,1,47.5893,2343.75,51.0293,5718.75,017165b59
0171866c7_32,18,1,57.0987,3187.5,57.792,5062.5,0171866c7
0171866c7_33,12,1,36.64,562.5,39.776,3281.25,0171866c7
0178fe09a_34,5,1,1.7653,4781.25,4.1173,10406.25,0178fe09a
0178fe09a_35,16,4,33.3333,3093.75,35.168,4593.75,0178fe09a
0178fe09a_36,23,4,6.3042,6459.9609,14.228,11627.9297,0178fe09a
017d43bd0_37,3,1,10.48,1031.25,11.2213,2812.5,017d43bd0
01a976045_38,18,1,9.7707,3187.5,10.464,5062.5,01a976045
01a976045_39,16,4,14.88,3093.75,16.7147,4593.75,01a976045
01a976045_40,16,4,8.847999999999997,3093.75,10.6827,4593.75,01a976045
01cd1b90e_41,11,1,38.4639,1808.7891,39.6016,5684.7656,01cd1b90e
01ceb73a1_42,0,1,3.904,5906.25,5.1947,7500.0,01ceb73a1
01ceb73a1_43,20,1,27.6107,2343.75,31.0507,5718.75,01ceb73a1
01ceb73a1_44,2,1,50.4427,468.75,52.2187,3000.0,01ceb73a1
01ceb73a1_45,16,4,44.9867,3093.75,46.8213,4593.75,01ceb73a1
01d1aeb9a_46,13,1,25.5627,93.75,29.4347,1406.25,01d1aeb9a
01d1aeb9a_47,17,1,52.9813,1312.5,59.4347,3937.5,01d1aeb9a
01d1aeb9a_48,17,1,35.5733,1312.5,42.0267,3937.5,01d1aeb9a
01dd6474a_49,10,1,27.5447,947.4609,29.9886,10852.7344,01dd6474a
01e8c8d72_50,8,1,5.1947,3750.0,9.3173,5531.25,01e8c8d72
01e8c8d72_51,21,1,24.6613,3281.25,25.7547,4125.0,01e8c8d72
0209f7ab2_52,3,1,8.0213,1031.25,8.7627,2812.5,0209f7ab2
021e8f7aa_53,4,1,8.9707,2343.75,10.8267,4218.75,021e8f7aa
021e8f7aa_54,19,1,47.3227,281.25,48.8747,2812.5,021e8f7aa
022f801bc_55,9,1,48.8213,1125.0,51.6267,5250.0,022f801bc
022f801bc_56,18,1,45.5253,3187.5,46.2187,5062.5,022f801bc
022f801bc_57,8,1,29.0027,3750.0,33.1253,5531.25,022f801bc
023e22a5e_58,9,1,7.8187,1125.0,10.624,5250.0,023e22a5e
023e22a5e_59,14,1,56.9173,2531.25,57.504,5531.25,023e22a5e
0275e127d_60,0,1,42.2827,5906.25,43.5733,7500.0,0275e127d
0275e127d_61,6,1,32.3467,562.5,34.4907,4406.25,0275e127d
0275e127d_62,10,1,54.8165,947.4609,57.2604,10852.7344,0275e127d
0281e4332_63,9,1,22.4533,1125.0,25.2587,5250.0,0281e4332
0281e4332_64,8,1,50.864,3750.0,54.9867,5531.25,0281e4332
02a9de85e_65,15,1,19.8613,93.75,23.2053,1125.0,02a9de85e
02a9de85e_66,11,1,32.0726,1808.7891,33.2103,5684.7656,02a9de85e
02a9de85e_67,16,4,14.384,3093.75,16.2187,4593.75,02a9de85e
02a9de85e_68,2,1,47.29600000000001,468.75,49.072,3000.0,02a9de85e
02b9a8ab9_69,6,1,20.4053,562.5,22.4267,3187.5,02b9a8ab9
02b9a8ab9_70,9,1,48.4267,1125.0,51.232,5250.0,02b9a8ab9
