recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,raw_recording_id,confidence,has_other
003bec244_0,14,1,44.544,2531.25,45.1307,5531.25,003bec244,0.3805854916572571,0
006ab765f_1,23,1,39.9615,7235.16,46.0452,11283.4,006ab765f,0.9957530498504639,0
007f87ba2_2,12,1,39.135999999999996,562.5,42.272,3281.25,007f87ba2,0.15485481917858124,1
0099c367b_3,17,4,51.4206,1464.26,55.1996,4565.04,0099c367b,0.9866581559181213,0
009b760e6_4,10,1,50.0854,947.461,52.5293,10852.7,009b760e6,0.9848625063896179,1
00b404881_5,8,1,0.0747,3750.0,4.1973,5531.25,00b404881,0.9437277317047119,1
00d442df7_6,0,1,19.3653,5906.25,20.16,8250.0,00d442df7,0.9985874891281128,0
011f25080_7,18,1,5.6853,3187.5,6.3787,5062.5,011f25080,0.9999364614486694,0
015113cad_8,15,1,50.0533,93.75,53.3973,1125.0,015113cad,0.9958555102348328,1
0151b7d20_9,1,1,46.032,3843.75,46.928000000000004,5625.0,0151b7d20,0.9939883947372437,0
01b41f92b_10,6,1,44.24,562.5,46.38399999999999,4406.25,01b41f92b,0.9999607801437378,0
0201197ec_11,10,1,43.3575,947.461,45.8014,10852.7,0201197ec,0.9944381713867188,0
0209f7ab2_12,7,1,50.7573,4687.5,53.8987,11437.5,0209f7ab2,0.10614517331123352,1
0268057eb_13,0,1,25.4987,5906.25,26.2933,8250.0,0268057eb,0.9876320362091064,0
0275e127d_14,11,1,11.9989,1808.79,13.1367,5684.77,0275e127d,0.9995181560516357,0
0295e3234_15,11,1,5.1606,1808.79,6.2984,5684.77,0295e3234,0.9999517202377319,0
0297d886e_16,13,1,57.808,93.75,58.431999999999995,843.75,0297d886e,0.9999948740005493,0
02b9a8ab9_17,12,1,33.9093,562.5,37.0453,3281.25,02b9a8ab9,0.9998766183853149,0
0313e82cf_18,16,4,21.471999999999998,3093.75,23.3067,4593.75,0313e82cf,0.9986196756362915,0
03b96f209_19,16,4,30.9333,3093.75,32.768,4593.75,03b96f209,0.9998055100440979,0
03b96f209_20,16,4,49.632,3093.75,51.4667,4593.75,03b96f209,0.017118357121944427,1
03d77fede_21,0,1,44.4107,5906.25,45.2053,8250.0,03d77fede,0.9933226704597473,1
043356ff8_22,18,1,0.1227,3187.5,0.816,5062.5,043356ff8,0.9996836185455322,0
04975ecd8_23,19,1,54.38399999999999,281.25,55.93600000000001,2812.5,04975ecd8,0.9997144341468811,0
04d6b1fc1_24,17,4,4.7307,1406.25,7.3387,3937.5,04d6b1fc1,0.9996726512908936,0
04e70a8e3_25,7,1,23.5947,4687.5,26.736,11437.5,04e70a8e3,0.8715500235557556,1
0509303a5_26,6,1,23.7013,562.5,25.8453,4406.25,0509303a5,0.9999998807907104,0
050d0ca85_27,3,1,49.92,1031.25,50.6613,2812.5,050d0ca85,0.9537394642829895,0
053aeb7bd_28,23,4,9.8569,6459.96,17.7807,11627.9,053aeb7bd,0.9889184832572937,0
053aeb7bd_29,23,4,0.9520000000000001,6459.96,8.8758,11627.9,053aeb7bd,0.9873855113983154,0
055088446_30,14,1,58.992,3750.0,59.263999999999996,6468.75,055088446,0.9881442785263062,1
055d22517_31,10,1,47.5835,947.461,50.0274,10852.7,055d22517,0.9964053630828857,0
057802c25_32,11,1,4.2202,1808.79,5.358,5684.77,057802c25,0.9974478483200073,0
05b9c974c_33,2,1,31.984,468.75,33.76,3000.0,05b9c974c,0.5487072467803955,1
05f8c0f2f_34,4,1,26.5867,2343.75,28.4427,4218.75,05f8c0f2f,0.9763191342353821,1
067f49f8b_35,0,1,53.29600000000001,5906.25,54.0907,8250.0,067f49f8b,0.9866620898246765,0
068f1b8e2_36,12,1,22.864,562.5,26.0,3281.25,068f1b8e2,0.9999679327011108,0
06a0c48c9_37,0,1,57.2213,5906.25,58.01600000000001,8250.0,06a0c48c9,0.9578480124473572,1
06c44d203_38,3,1,1.28,1031.25,2.0213,2812.5,06c44d203,0.04262525588274002,1
073e4d908_39,12,1,12.495999999999999,562.5,15.632,3281.25,073e4d908,0.9991958737373352,0
078788674_40,15,1,41.36,93.75,44.70399999999999,1125.0,078788674,0.8446331024169922,1
07d1687e0_41,8,1,0.064,3750.0,4.1867,5531.25,07d1687e0,0.9498530030250549,1
07dcf40f7_42,10,1,27.237,947.461,29.6809,10852.7,07dcf40f7,0.9999356269836426,0
07f1227b0_43,1,1,32.9387,3843.75,33.8347,5625.0,07f1227b0,0.0037350719794631004,1
08db743d0_44,16,4,38.3787,3093.75,40.2133,4593.75,08db743d0,0.9973899722099304,0
090ae427d_45,7,1,26.1387,4687.5,29.28,11437.5,090ae427d,0.204207643866539,1
09315d9bf_46,22,1,49.69600000000001,10687.5,51.3013,13687.5,09315d9bf,0.999052107334137,0
0968aea09_47,12,1,5.7707,562.5,8.9067,3281.25,0968aea09,0.994272768497467,0
09a946316_48,23,1,50.4744,7235.16,56.558,11283.4,09a946316,0.9987687468528748,0
0a350d11c_49,19,1,11.5253,281.25,13.0773,2812.5,0a350d11c,0.9997029900550842,0
0a9cdd8a5_50,7,1,22.2827,4687.5,25.424,11437.5,0a9cdd8a5,0.7552493810653687,1
0ab6aa734_51,9,1,49.4773,843.75,53.04,5718.75,0ab6aa734,0.16908931732177734,1
0b2fa3f80_52,12,1,3.0133,562.5,6.1493,3281.25,0b2fa3f80,0.2779867649078369,1
0b3ef9c4e_53,6,1,44.3733,562.5,46.5173,4406.25,0b3ef9c4e,0.9998751878738403,0
0c2124550_54,21,1,18.2293,3281.25,19.3227,4125.0,0c2124550,0.9996232986450195,0
0c448e77c_55,17,4,36.2638,1464.26,40.0428,4565.04,0c448e77c,0.11021296679973602,0
0c48ed342_56,17,1,50.032,1312.5,56.4853,3937.5,0c48ed342,0.924286425113678,1
0c936a1d4_57,17,4,48.2453,1406.25,50.8533,3937.5,0c936a1d4,0.9539991617202759,0
0cb4632d6_58,13,1,47.1467,93.75,47.7707,843.75,0cb4632d6,0.9970878958702087,0
0d25045a9_59,1,1,47.2693,3843.75,48.1653,5625.0,0d25045a9,0.9826369881629944,0
0e034f968_60,2,1,1.8933,468.75,3.6693,3000.0,0e034f968,0.9972661733627319,0
0e29d05ed_61,15,1,31.936,93.75,35.28,1125.0,0e29d05ed,0.9992358684539795,0
0e2e4ac19_62,2,1,44.56,468.75,46.33600000000001,3000.0,0e2e4ac19,0.9995841383934021,0
0e799da44_63,18,1,24.6027,3187.5,25.296,5062.5,0e799da44,0.6689037084579468,1
0ea8ea68a_64,0,1,3.8027,5906.25,4.5973,8250.0,0ea8ea68a,0.8939894437789917,0
0eb2079ea_65,3,1,5.5893,1031.25,6.3307,2812.5,0eb2079ea,0.676929771900177,1
0f8cadb4a_66,13,1,34.4907,93.75,35.1147,843.75,0f8cadb4a,0.9744018316268921,1
0f99800b7_67,11,1,27.416999999999998,1808.79,28.5547,5684.77,0f99800b7,0.49367350339889526,1
0fc62dd3c_68,18,1,9.6427,3187.5,10.335999999999999,5062.5,0fc62dd3c,0.0942448228597641,1
100e4ddc9_69,2,1,1.2853,468.75,3.0613,3000.0,100e4ddc9,0.9987450838088989,0
103db6411_70,20,1,22.3573,1312.5,27.7387,6093.75,103db6411,0.9999638795852661,0
10dae79ed_71,18,1,30.191999999999997,3187.5,30.8853,5062.5,10dae79ed,0.6099370121955872,1
119b154cc_72,15,1,3.7813,93.75,7.1253,1125.0,119b154cc,0.9920921921730042,1
11a52d37a_73,18,1,46.0693,3187.5,46.7627,5062.5,11a52d37a,0.9718189239501953,0
11bafff5d_74,23,1,22.6278,7235.16,28.7115,11283.4,11bafff5d,0.9958078861236572,0
11c2c02e5_75,15,1,17.6587,93.75,21.0027,1125.0,11c2c02e5,0.9925199747085571,0
11c2c02e5_76,15,1,14.8427,93.75,18.1867,1125.0,11c2c02e5,0.9693311452865601,0
1263c23c8_77,17,1,38.9013,1312.5,45.3547,3937.5,1263c23c8,0.9945542812347412,0
12a12f0fa_78,8,1,31.504,3750.0,35.6267,5531.25,12a12f0fa,0.9986191987991333,0
12ec1d4cb_79,9,1,24.112,1125.0,26.9173,5250.0,12ec1d4cb,0.9763500094413757,0
133001416_80,3,1,14.88,1031.25,15.6213,2812.5,133001416,0.9783536791801453,0
13511f7bd_81,1,1,8.256,3843.75,9.152000000000001,5625.0,13511f7bd,0.6295467019081116,0
1375a05d1_82,21,1,28.1493,3281.25,29.2427,4125.0,1375a05d1,0.11214757710695267,1
1383208d3_83,10,1,50.4744,947.461,52.9183,10852.7,1383208d3,0.5973122119903564,1
13c678c1d_84,1,1,0.8640000000000001,3843.75,1.76,5625.0,13c678c1d,0.9973717927932739,0
13de5cabb_85,11,1,57.3359,1808.79,58.4737,5684.77,13de5cabb,0.9985613226890564,0
13f64f898_86,1,1,35.4613,3843.75,36.3573,5625.0,13f64f898,0.9993376135826111,0
1414bbe17_87,14,1,14.6453,3750.0,14.9173,6468.75,1414bbe17,0.9992865920066833,0
141675c80_88,1,1,54.6933,3843.75,55.5893,5625.0,141675c80,0.9999383687973022,0
147b41b13_89,7,1,35.4133,4687.5,38.5547,11437.5,147b41b13,0.989021360874176,0
14948ff80_90,13,1,44.5013,93.75,45.1253,843.75,14948ff80,0.9951948523521423,0
14d467153_91,8,1,0.3733,3750.0,4.496,5531.25,14d467153,0.9991568326950073,0
14dc5a39e_92,13,1,50.5067,93.75,51.1307,843.75,14dc5a39e,0.9721823930740356,1
14f6cbe5c_93,3,1,53.6,1031.25,54.3413,2812.5,14f6cbe5c,0.5308302640914917,0
1504619b7_94,18,1,44.512,3187.5,45.2053,5062.5,1504619b7,0.026990484446287155,1
1520a52ef_95,13,1,6.496,93.75,7.12,843.75,1520a52ef,0.9954310655593872,0
1535d0c9b_96,9,1,4.6507,843.75,8.2133,5718.75,1535d0c9b,0.9552553296089172,1
1545e29b3_97,19,1,0.1387,281.25,1.6907,2812.5,1545e29b3,0.996399998664856,0
156b77dfe_98,1,1,37.36,3843.75,38.256,5625.0,156b77dfe,0.19169510900974274,1
157a50231_99,0,1,35.7867,5906.25,36.5813,8250.0,157a50231,0.9967527985572815,0
158c5acb6_100,16,4,18.8427,3093.75,20.6773,4593.75,158c5acb6,0.9974834322929382,0
15d9e6d8b_101,18,1,36.6453,3187.5,37.3387,5062.5,15d9e6d8b,0.9366638660430908,1
160add406_102,23,4,18.6805,6459.96,26.6043,11627.9,160add406,0.571951687335968,0
160add406_103,23,4,3.0534,6459.96,10.9772,11627.9,160add406,0.9851768016815186,0
160b70831_104,2,1,1.9413,468.75,3.7173,3000.0,160b70831,0.9999068975448608,0
163e86660_105,3,1,58.06399999999999,1031.25,58.8053,2812.5,163e86660,0.8117070198059082,0
16553d5cd_106,23,4,28.7405,6459.96,36.6643,11627.9,16553d5cd,0.9940059185028076,0
16553d5cd_107,23,4,41.7088,6459.96,49.6327,11627.9,16553d5cd,0.9967464208602905,0
1679e323d_108,14,1,8.6773,2531.25,9.264,5531.25,1679e323d,0.9913397431373596,0
16ccddf71_109,14,1,51.8773,2812.5,52.8,4406.25,16ccddf71,0.9983365535736084,0
16fc37168_110,1,1,29.36,3843.75,30.256,5625.0,16fc37168,0.9901554584503174,0
16ffcf223_111,14,1,16.9973,2812.5,17.92,4406.25,16ffcf223,0.9998509883880615,0
1702d35a0_112,22,1,28.2453,10687.5,29.8507,13687.5,1702d35a0,0.9999749660491943,0
178b835e3_113,20,1,36.6453,2343.75,40.0853,5718.75,178b835e3,0.13191597163677216,1
178b835e3_114,16,4,21.2267,3093.75,23.0613,4593.75,178b835e3,0.019624138250947,1
178b835e3_115,16,4,4.256,3093.75,6.0907,4593.75,178b835e3,0.17388902604579926,1
1795728ba_116,5,1,39.56800000000001,4781.25,41.92,10406.2,1795728ba,0.9904962778091431,0
17ca62c97_117,4,1,32.9173,2343.75,34.7733,4218.75,17ca62c97,0.998895525932312,0
17ca96791_118,16,4,13.632,3093.75,15.4667,4593.75,17ca96791,0.2526935040950775,1
180ba3012_119,6,1,48.352,562.5,50.496,4406.25,180ba3012,0.9990880489349365,0
184322f0e_120,22,1,54.8,10687.5,56.4053,13687.5,184322f0e,0.49082836508750916,1
1856bb5c2_121,22,1,36.4533,10687.5,38.0587,13687.5,1856bb5c2,0.992749810218811,1
18c47b7f2_122,8,1,32.544000000000004,3750.0,36.6667,5531.25,18c47b7f2,0.999454915523529,0
18df43462_123,5,1,46.8373,4781.25,49.1893,10406.2,18df43462,0.10666687041521072,1
18e249f36_124,7,1,28.8747,4687.5,32.016,11437.5,18e249f36,0.365470826625824,1
19442bf58_125,12,1,1.4933,562.5,4.6293,3281.25,19442bf58,0.9951751232147217,0
195e5ba43_126,19,1,25.184,281.25,26.736,2812.5,195e5ba43,0.9989810585975647,1
19dfeda02_127,6,1,16.0693,562.5,18.2133,4406.25,19dfeda02,0.9999645948410034,0
1a3993962_128,16,4,48.144,3093.75,49.9787,4593.75,1a3993962,0.9999997615814209,0
1a5fb3223_129,7,1,56.7893,4687.5,59.9307,11437.5,1a5fb3223,0.1587255299091339,1
1aa00dc63_130,23,4,41.2328,6459.96,49.1566,11627.9,1aa00dc63,0.9977272152900696,0
1aa00dc63_131,12,1,19.7867,562.5,22.9227,3281.25,1aa00dc63,0.562782347202301,1
1aef4f8ff_132,14,1,47.152,2531.25,47.7387,5531.25,1aef4f8ff,0.9050180912017822,1
1b77382c7_133,14,1,32.1493,3750.0,32.4213,6468.75,1b77382c7,0.9996299743652344,0
1ba9ee79a_134,1,1,5.9467,3843.75,6.8427,5625.0,1ba9ee79a,0.5663837790489197,1
1bc8c196e_135,22,1,4.5973,10687.5,6.2027,13687.5,1bc8c196e,0.9993932247161865,0
1bd29a4bb_136,10,1,42.7886,947.461,45.2325,10852.7,1bd29a4bb,0.996970534324646,0
1c46aa776_137,6,1,30.7307,562.5,32.8747,4406.25,1c46aa776,0.9999396800994873,0
1ca8c8af6_138,12,1,0.6827,562.5,3.8187,3281.25,1ca8c8af6,0.29696789383888245,1
1d6371ff5_139,6,1,40.5493,562.5,42.6933,4406.25,1d6371ff5,0.9984169006347656,0
