recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,-3.9154569149017333,-6.1055832862854,-4.729682064056396,0.7153479099273682,-5.470537757873535,-1.3534329414367676,-3.8277322769165045,-4.584970760345459,-6.36324520111084,-4.1186583042144775,-6.135736560821533,-5.788788986206055,2.3860158920288086,-5.82613582611084,-5.065258502960205,-5.733127498626709,-4.3921679019927975,-5.060037136077881,-2.4181934118270876,-5.769645309448242,-2.818239486217499,-5.068219900131226,-4.500177001953125,-3.8039738655090334
003bc2cb2,-9.826922798156739,-4.285177183151245,-7.377824497222901,-0.08260465562343597,-8.22584800720215,-7.220645427703857,-6.816242408752442,-5.395242595672608,-8.546369552612305,-5.364925241470337,-4.773158049583435,-6.6850096702575685,-6.438885116577149,-7.3801616668701175,-5.801280975341797,-7.211721134185791,8.212630081176759,-5.534193229675293,-8.937432861328125,-7.292605018615722,-6.047336483001709,-6.997464323043824,-6.997936248779297,-7.160430908203125
0061c037e,-4.866130590438843,-4.842552757263183,-4.063143396377564,-1.6219848036766051,-6.429306411743164,-0.4514208048582077,-4.975364065170288,-0.9009257733821869,-6.516798496246338,-4.242586469650268,-1.545909096300602,-2.990059423446655,-5.2133588790893555,-4.249124336242676,-4.3475299835205075,-2.0563581228256225,-4.586293888092041,-2.5483211517333983,-5.709779167175293,-4.123060417175293,-1.9970686435699467,-6.234882736206055,-1.7788364231586455,-1.6185551226139068
010eb14d3,4.190748167037964,-5.914340496063232,-8.322088813781738,-5.823402070999146,-7.706429767608642,-7.295468139648437,-8.179701137542725,-9.748976230621338,1.6423407554626466,-6.873653602600098,-9.901728916168214,-9.451987266540527,-6.69496603012085,-7.965547370910644,-8.826174354553222,-9.081074142456055,-10.398685836791993,-11.278829956054688,-1.63760826587677,-8.653098487854004,-10.773007202148438,-7.350429439544678,-7.516582584381103,-6.718231964111328
011318064,-6.7693483352661135,-5.541879653930664,-5.850583171844482,0.779126664996147,-6.212287139892578,-3.7758506655693056,-4.7808788299560545,-4.608580207824707,-7.085490989685058,-4.6620605945587155,-7.153945636749268,-5.327812767028808,-4.453115653991699,-4.647467184066772,3.333415079116821,1.0247096419334412,-4.622682571411133,-6.023568916320801,-2.4468533277511595,-7.130037021636963,-5.113145875930786,-5.0942230224609375,-5.934469509124756,-5.760643386840821
01307e693,-8.652430152893066,-4.462880849838257,-7.251552963256836,0.5207553446292877,-6.902684688568115,-6.164803218841553,-6.878483772277832,2.539583349227905,-8.13076400756836,-3.1563226163387297,-5.423568248748779,-1.9284350261092187,-4.880664491653443,-6.108387851715088,-4.52346510887146,2.340064001083374,-3.9897792100906373,-3.7336935997009277,-6.764932537078858,-7.012683963775634,-4.529629373550415,-6.0521979331970215,-4.2969691276550295,-2.4247358977794646
013bd8b85,-4.315703582763672,-5.425073146820068,-5.284575796127319,-0.035208288580179214,-3.6618900060653687,-2.3731003642082213,-6.78945894241333,-4.632197666168213,-5.267263698577881,-0.37036408185958863,-7.579885005950928,-6.822072601318359,3.810202980041504,0.2923079259693623,-5.098445272445678,-3.706448459625244,-5.670471477508545,-6.610334014892578,-0.13766256272792815,-6.86956558227539,-6.337173748016357,-4.435093021392822,-4.842332172393799,-4.7463233947753904
01812f522,-9.238895320892334,-4.348162126541138,-8.935543441772461,-0.8234537459909916,-8.741074657440185,-7.854578971862793,-8.346645545959472,-3.2842853546142576,-8.001081371307373,-1.1763340670615434,-5.826232528686523,-4.9380859375,-7.330912494659424,-6.41041202545166,-6.970181846618653,-7.137887859344483,0.466454428434372,4.685418033599854,-8.69053955078125,-7.907469177246094,1.11974356174469,-7.265353012084961,-7.0092775344848635,-4.940552806854248
019db5220,-3.6887134075164796,-6.814495468139649,-5.923532009124756,-0.1181743748486042,-5.7858357429504395,4.5743629932403564,-6.53558464050293,-3.844627285003662,-6.688316440582275,-5.15746431350708,-6.224804401397705,-6.445991134643554,-1.1334542840719224,-5.302962160110473,-6.552628231048584,-5.813381576538086,-7.096758651733398,-6.919667911529541,0.5165769517421722,-6.647447395324707,-6.742048740386963,-6.076026725769043,1.092866414785385,8.158689594268798
01bd97dd6,-2.9472830295562744,-5.735285949707031,-4.6091053009033205,0.39455443248152733,-1.5003380805253983,-3.1860901594161986,-5.035248565673828,-3.329775357246399,-4.879482269287109,-3.895391082763672,-5.372405338287353,-5.269827890396118,1.2301851212978365,-3.6573812782764437,-5.065825366973877,-6.051398372650146,-5.061685705184937,-5.129458332061768,-1.003821012377739,-5.350994968414307,-5.821681118011474,-4.105581331253052,-4.289252710342407,-2.7118791818618773
