recording_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
000316da7,-1.6323903560638429,-3.704296875,-3.609591341018677,-1.5739835023880004,-2.5770256757736205,-2.7337690591812134,-2.1767085075378416,-4.124633646011352,-3.049360227584839,-2.1814743995666506,-3.0758711814880373,-4.146841430664063,0.044734357297420514,-3.8619719982147216,-0.8579042732715607,-5.473966026306153,-5.200862312316895,-3.3698427200317385,-0.5840670883655548,-2.856117606163025,-2.9704803943634035,-3.3523492336273195,-2.71603147983551,-2.3990795850753783
003bc2cb2,-9.34258451461792,-3.407718563079834,-4.634389114379883,-1.188877558708191,-5.377734184265137,-4.926360034942627,-4.1535947799682615,-3.576971507072449,-7.9515667915344235,-2.733822751045227,-4.326999998092651,-3.484944772720337,-4.272752189636231,-4.507122945785523,-5.104112052917481,-5.805621337890625,2.329792618751526,-1.0615530729293823,-7.437846279144287,-3.5754738807678224,-3.3082107067108155,-7.343949031829834,-4.453507423400879,-4.0797289371490475
0061c037e,-5.149102258682251,-7.2692793846130375,-1.6842930316925049,-2.6165819644927977,-7.605508708953858,-0.5954603962600231,-2.041800010204315,-1.9086050271987915,-8.963127613067627,-3.1194629669189458,-1.6588554859161377,-2.7476220607757567,-5.452984809875488,-7.669592571258545,-4.883475971221924,-2.053457999229431,-5.952779483795166,-2.646722507476807,-6.488206958770752,-1.6401592373847962,-1.7335433959960938,-9.175032424926759,-1.801550531387329,-1.0269525289535522
010eb14d3,3.2543337821960447,-5.687867450714111,-8.130202674865723,-4.085985708236694,-4.233874034881592,-4.0721229076385494,-6.876718235015869,-8.09599256515503,-2.4660743951797484,-5.768363380432129,-7.112971019744873,-9.942333507537843,-2.6052527904510496,-6.637595367431641,-6.177244758605957,-10.19933853149414,-11.028995132446289,-10.69735507965088,-0.753267839550972,-7.13452262878418,-9.362545108795166,-6.4052605628967285,-5.634881687164307,-4.29160795211792
011318064,-2.56048378944397,-3.1021955490112303,-2.7526622295379637,-0.9359754800796509,-3.5245270729064933,-3.0191527366638184,-2.188670778274536,-2.848401498794556,-3.5161031246185304,-1.686974859237671,-3.3097365379333494,-3.9501070022583007,-0.8653348922729492,-2.4018003702163697,0.22765934765338897,0.1907742828130722,-2.925292444229126,-1.972281551361084,-2.359859991073608,-2.379841184616089,-2.0590853929519652,-3.2403168201446535,-2.622858476638794,-2.1843680858612062
01307e693,-7.066290855407715,-3.7729187965393067,-3.899104928970337,-1.0468632936477662,-4.762831735610962,-2.7319662809371947,-3.378794717788696,0.976563823223114,-7.394980335235596,-2.7596374988555907,-3.013314056396484,-2.675944423675537,-3.0019405126571654,-2.1333206415176393,-4.024378395080566,0.6283999383449554,0.1466061294078827,-1.3027644515037538,-6.1364209175109865,-3.3326822757720946,-2.196626400947571,-6.980042457580566,-3.3654003620147703,-0.5065852701663971
013bd8b85,-3.1971387386322023,-3.0645232677459715,-3.663658046722412,-1.2682910680770874,-3.956412124633789,-2.0642314910888673,-4.9522806167602536,-2.918788528442383,-2.2474278450012206,-3.1373624324798586,-4.708316516876221,-5.796982955932617,1.7508932590484618,0.061210691928863505,-2.3310777306556703,-1.8607612609863282,-3.7866271495819093,-4.433090925216675,-2.2769356966018677,-3.7229282379150392,-4.342881679534912,-2.5832242727279664,-3.371498155593872,-1.9058826923370362
01812f522,-8.810467624664307,-2.096437859535217,-4.881017065048217,-1.3042955279350281,-4.12654128074646,-3.8583550453186035,-5.574344348907471,-1.0079614758491515,-7.843523120880127,-3.0840412616729735,-4.012091064453125,-3.3092276573181154,-3.8346330165863036,-3.7474594116210938,-5.817475128173828,-5.760125923156738,1.5053049087524415,-0.8252439141273499,-7.6952191352844235,-3.949242639541626,-3.2450656414031984,-7.478617095947266,-3.913611888885498,-2.2164175510406494
019db5220,-0.6010312288999557,-4.477858924865723,-3.5746209144592287,-1.6287983655929565,-3.0147900581359863,0.7673471689224243,-1.6004147201776504,-1.992846131324768,-3.7119011878967285,-2.241626811027527,-2.6442565441131594,-3.7834158182144164,-0.24547540098428727,-4.237540864944458,-1.3012857973575591,-5.298457241058349,-5.273137950897217,-3.7011298179626464,-1.4119807243347169,-2.592149829864502,-3.749598264694214,-3.612465667724609,-3.4652028560638426,2.031074970960617
01bd97dd6,-1.1285283803939818,-4.3425907611846934,-2.0265042304992678,-1.5195471048355103,-2.5403051137924195,-2.626787519454956,-1.0176488041877747,-2.739030599594116,-3.662117862701416,-1.966532301902771,-2.3475854635238647,-3.8363736629486085,-0.5012511596083641,-3.613589906692505,-1.6782676219940185,-5.565717792510986,-4.622038078308106,-2.6420780658721923,-1.2765520691871644,-1.3552558302879334,-3.3427578449249267,-2.7502139091491697,-3.0817848205566407,-0.6870871663093567
01d36def5,-2.916596221923828,-7.36298828125,-5.2956219673156735,-3.144934892654419,-6.267867183685302,-0.2297674834728241,-0.39292601943016053,-2.071100091934204,-7.045485973358154,-3.229727840423584,-1.4520690619945527,-1.4488324284553529,-3.904795789718628,-8.249773216247558,-4.092723369598389,-5.438517951965332,-6.5373382568359375,-3.655371904373169,-3.47656831741333,-2.7312459468841555,-2.369728660583496,-7.738834095001221,-2.4321906566619873,-0.5183792531490325
01fefebcb,-3.1420806407928468,-2.407327675819397,-2.346806836128235,-1.0183273911476136,-4.18605785369873,-1.6175941348075866,-2.1005449056625367,-3.1660933017730715,-3.0700339794158937,-1.5861420392990113,-2.8411142110824583,-3.6540044784545898,-0.5002378582954407,-4.0814666748046875,-1.9024818658828735,-4.519291687011719,-3.4356189250946043,-2.2921790361404417,-3.1436854362487794,-2.399109888076782,-2.033981442451477,-3.623969221115112,-1.517289900779724,-1.7533691287040711
0208fec47,-10.317344474792481,-6.570283126831055,-6.100631999969482,-2.1618540287017822,-7.001172733306885,-5.219364833831787,-3.7771522045135497,-1.7245416410267354,-8.548292350769042,-3.316662549972534,-4.857586097717285,-0.8915472984313965,-6.129593276977539,-2.1251877307891847,-4.946231031417847,1.8931265592575073,-2.7284520864486694,-1.5108988761901856,-8.127882766723634,-4.018073701858521,-2.2501262187957765,-9.470087814331055,-4.567523336410522,-4.460668468475342
0232841d4,-4.606564235687256,-6.130184078216553,-8.317293167114258,-2.1485488176345826,-3.696700429916382,-4.1227936267852785,-5.664130115509034,-3.957896375656128,-6.705832004547119,-4.145889234542847,-6.101270771026611,-7.342249393463135,-4.313395547866821,-2.0601108074188232,2.8359087705612183,-4.610425138473511,-7.448679637908936,-6.623050498962402,-2.8580748558044435,-6.404016780853271,-5.945400714874268,-1.657064926624298,-5.993942832946777,-1.1290438175201416
